code,country,EIU21VA,EIU21PV,EIU21GE,EIU21RQ,EIU21RL,EIU21CC,EIU20VA,EIU20PV,EIU20GE,EIU20RQ,EIU20RL,EIU20CC,EIU19VA,EIU19PV,EIU19GE,EIU19RQ,EIU19RL,EIU19CC,EIU18VA,EIU18PV,EIU18GE,EIU18RQ,EIU18RL,EIU18CC,EIU17VA,EIU17PV,EIU17GE,EIU17RQ,EIU17RL,EIU17CC,EIU16VA,EIU16PV,EIU16GE,EIU16RQ,EIU16RL,EIU16CC,EIU15VA,EIU15PV,EIU15GE,EIU15RQ,EIU15RL,EIU15CC,EIU14VA,EIU14PV,EIU14GE,EIU14RQ,EIU14RL,EIU14CC,EIU13VA,EIU13PV,EIU13GE,EIU13RQ,EIU13RL,EIU13CC,EIU12VA,EIU12PV,EIU12GE,EIU12RQ,EIU12RL,EIU12CC,EIU11VA,EIU11PV,EIU11GE,EIU11RQ,EIU11RL,EIU11CC,EIU10VA,EIU10PV,EIU10GE,EIU10RQ,EIU10RL,EIU10CC,EIU09VA,EIU09PV,EIU09GE,EIU09RQ,EIU09RL,EIU09CC,EIU08VA,EIU08PV,EIU08GE,EIU08RQ,EIU08RL,EIU08CC,EIU07VA,EIU07PV,EIU07GE,EIU07RQ,EIU07RL,EIU07CC,EIU06VA,EIU06PV,EIU06GE,EIU06RQ,EIU06RL,EIU06CC,EIU05VA,EIU05PV,EIU05GE,EIU05RQ,EIU05RL,EIU05CC,EIU04VA,EIU04PV,EIU04GE,EIU04RQ,EIU04RL,EIU04CC,EIU03VA,EIU03PV,EIU03GE,EIU03RQ,EIU03RL,EIU03CC,EIU02VA,EIU02PV,EIU02GE,EIU02RQ,EIU02RL,EIU02CC,EIU00VA,EIU00PV,EIU00GE,EIU00RQ,EIU00RL,EIU00CC,EIU98VA,EIU98PV,EIU98GE,EIU98RQ,EIU98RL,EIU98CC,EIU96VA,EIU96PV,EIU96GE,EIU96RQ,EIU96RL,EIU96CC
LBN,Lebanon,0.286,0.100,0.000,0.450,0.250,0.000,0.302,0.100,0.000,0.450,0.313,0.000,0.343,0.100,0.250,0.550,0.313,0.000,0.357,0.150,0.250,0.550,0.313,0.000,0.361,0.150,0.375,0.550,0.281,0.250,0.368,0.200,0.375,0.550,0.281,0.250,0.368,0.150,0.375,0.550,0.281,0.250,0.381,0.150,0.500,0.550,0.344,0.250,0.378,0.150,0.500,0.550,0.344,0.250,0.378,0.150,0.500,0.550,0.344,0.250,0.391,0.200,0.500,0.550,0.406,0.250,0.416,0.200,0.500,0.550,0.438,0.250,0.375,0.200,0.500,0.500,0.438,0.250,0.469,0.200,0.500,0.500,0.438,0.250,0.479,0.125,0.500,0.500,0.438,0.250,0.479,0.100,0.500,0.500,0.438,0.250,0.438,0.300,0.500,0.300,0.438,0.250,0.438,0.350,0.375,0.300,0.438,0.250,0.438,0.450,0.375,0.300,0.344,0.250,0.438,0.450,0.375,0.300,0.469,0.250,0.438,0.400,0.500,0.300,0.469,0.250,0.375,0.300,0.500,0.300,0.313,0.250,0.438,0.350,0.625,0.300,0.406,0.250
LBR,Liberia,0.428,0.450,0.000,0.300,0.313,0.250,0.422,0.550,0.000,0.300,0.281,0.250,0.429,0.550,0.000,0.400,0.281,0.250,0.424,0.550,0.000,0.400,0.281,0.250,0.418,0.450,0.000,0.400,0.281,0.250,0.422,0.450,0.000,0.400,0.281,0.250,0.373,0.350,0.000,0.400,0.281,0.250,0.341,0.450,0.000,0.450,0.313,0.250,0.341,0.550,0.000,0.450,0.313,0.250,0.373,0.550,0.000,0.450,0.313,0.250,0.379,0.450,0.000,0.450,0.313,0.250,0.379,0.500,0.000,0.450,0.313,0.250,0.388,0.500,0.000,0.450,0.313,0.250,0.525,..,..,..,..,..,0.522,..,..,..,..,..,0.522,..,..,..,..,..,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LBY,Libya,0.160,0.100,0.000,0.050,0.031,0.000,0.160,0.050,0.000,0.050,0.031,0.000,0.164,0.050,0.000,0.050,0.063,0.000,0.172,0.050,0.000,0.050,0.063,0.000,0.179,0.050,0.000,0.050,0.063,0.000,0.175,0.050,0.000,0.050,0.063,0.000,0.175,0.050,0.125,0.050,0.063,0.000,0.346,0.150,0.125,0.100,0.188,0.000,0.397,0.300,0.125,0.100,0.188,0.000,0.414,0.350,0.125,0.100,0.219,0.000,0.271,0.250,0.125,0.150,0.219,0.000,0.097,0.550,0.125,0.150,0.250,0.000,0.100,0.600,0.125,0.200,0.250,0.000,0.100,0.600,0.125,0.200,0.313,0.000,0.092,0.550,0.125,0.175,0.281,0.000,0.092,0.550,0.125,0.100,0.281,0.000,0.000,0.550,0.125,0.100,0.281,0.000,0.000,0.550,0.125,0.100,0.281,0.000,0.000,0.500,0.125,0.100,0.281,0.000,0.000,0.500,0.125,0.100,0.188,0.000,0.000,0.450,0.000,0.100,0.188,0.000,0.000,0.250,0.125,0.100,0.125,0.000,0.000,0.150,0.125,0.100,0.125,0.000
LCA,St. Lucia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LIE,Liechtenstein,0.875,0.900,0.750,0.850,0.938,1.000,0.875,0.950,0.750,0.850,0.938,1.000,0.875,0.900,0.750,0.850,0.906,1.000,0.875,0.900,0.750,0.850,0.906,1.000,0.875,0.900,0.750,0.850,0.906,1.000,0.875,0.900,0.750,0.850,0.906,1.000,0.875,0.900,0.750,0.850,0.906,1.000,0.875,1.000,0.750,0.850,0.906,1.000,0.875,0.900,0.750,0.850,0.906,1.000,0.875,0.900,0.750,0.850,0.906,1.000,0.938,0.950,0.750,0.850,0.906,1.000,0.938,0.950,0.750,0.850,0.906,1.000,0.938,1.000,0.750,0.850,0.906,1.000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LKA,Sri Lanka,0.526,0.600,0.375,0.550,0.563,0.500,0.526,0.600,0.375,0.550,0.563,0.500,0.564,0.500,0.375,0.550,0.563,0.500,0.591,0.450,0.250,0.600,0.563,0.500,0.605,0.700,0.250,0.600,0.563,0.250,0.605,0.700,0.375,0.600,0.563,0.250,0.571,0.700,0.375,0.600,0.594,0.250,0.441,0.500,0.375,0.600,0.594,0.250,0.441,0.500,0.375,0.600,0.594,0.250,0.444,0.600,0.375,0.600,0.594,0.250,0.485,0.600,0.375,0.600,0.594,0.250,0.488,0.600,0.375,0.600,0.594,0.250,0.487,0.650,0.375,0.600,0.594,0.250,0.518,0.550,0.375,0.600,0.625,0.250,0.548,0.525,0.375,0.600,0.625,0.250,0.548,0.500,0.375,0.600,0.625,0.250,0.438,0.500,0.375,0.600,0.625,0.250,0.438,0.500,0.250,0.600,0.625,0.250,0.438,0.500,0.250,0.550,0.625,0.250,0.438,0.450,0.250,0.550,0.625,0.250,0.375,0.250,0.000,0.600,0.469,0.250,0.375,0.350,0.000,0.500,0.438,0.250,0.313,0.250,0.250,0.500,0.500,0.250
LSO,Lesotho,0.534,0.450,0.250,0.500,0.406,0.250,0.565,0.450,0.250,0.500,0.406,0.500,0.577,0.450,0.250,0.500,0.406,0.500,0.582,0.500,0.250,0.500,0.406,0.500,0.582,0.500,0.250,0.500,0.406,0.500,0.580,0.500,0.250,0.500,0.469,0.500,0.580,0.600,0.250,0.500,0.469,0.500,0.583,0.650,0.375,0.500,0.438,0.500,0.583,0.650,0.375,0.500,0.438,0.500,0.583,0.600,0.375,0.500,0.438,0.500,0.567,0.550,0.375,0.400,0.438,0.500,0.551,0.550,0.375,0.400,0.438,0.500,0.596,0.550,0.375,0.400,0.500,0.500,0.596,0.550,0.375,0.400,0.500,0.500,0.637,0.550,0.375,0.400,0.500,0.500,0.637,0.500,0.375,0.400,0.500,0.500,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LTU,Lithuania,0.734,0.750,0.750,0.750,0.750,0.750,0.732,0.750,0.750,0.700,0.719,0.750,0.750,0.700,0.750,0.750,0.719,0.500,0.688,0.700,0.750,0.700,0.719,0.250,0.714,0.700,0.750,0.800,0.750,0.500,0.717,0.700,0.750,0.800,0.750,0.500,0.721,0.700,0.750,0.850,0.750,0.500,0.721,0.700,0.625,0.800,0.750,0.500,0.721,0.700,0.500,0.800,0.719,0.500,0.706,0.700,0.500,0.800,0.719,0.500,0.706,0.700,0.500,0.800,0.719,0.500,0.706,0.700,0.500,0.800,0.719,0.500,0.712,0.700,0.500,0.800,0.719,0.250,0.712,0.800,0.500,0.800,0.719,0.250,0.715,0.800,0.500,0.800,0.719,0.250,0.715,0.800,0.500,0.800,0.719,0.250,0.625,0.800,0.500,0.800,0.625,0.500,0.625,0.800,0.500,0.800,0.625,0.500,0.563,0.800,0.500,0.850,0.563,0.250,0.500,0.750,0.375,0.850,0.469,0.250,0.500,0.500,0.125,0.850,0.469,0.250,0.500,0.550,0.375,0.850,0.531,0.250,0.563,0.450,0.250,0.850,0.500,0.250
LUX,Luxembourg,0.903,0.950,0.750,0.900,0.938,1.000,0.903,0.900,0.750,0.900,0.906,1.000,0.909,0.900,0.750,0.900,0.906,1.000,0.909,0.900,0.750,0.900,0.906,1.000,0.909,0.900,0.625,0.900,0.875,1.000,0.909,0.900,0.625,0.900,0.875,1.000,0.913,0.900,0.625,0.850,0.875,1.000,0.913,0.900,0.625,0.850,0.875,1.000,0.913,0.950,0.625,0.850,0.875,1.000,0.913,0.950,0.625,0.850,0.875,1.000,0.913,0.850,0.625,0.850,0.875,1.000,0.913,0.950,0.625,0.850,0.875,1.000,0.924,0.950,0.625,0.850,0.875,1.000,0.924,0.950,0.625,0.850,0.875,1.000,0.924,0.950,0.625,0.800,0.875,1.000,0.924,0.950,0.625,0.800,0.875,1.000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LVA,Latvia,0.709,0.750,0.750,0.800,0.750,0.750,0.706,0.600,0.750,0.800,0.750,0.750,0.718,0.600,0.750,0.800,0.750,0.750,0.713,0.600,0.750,0.750,0.750,0.500,0.706,0.600,0.750,0.800,0.750,0.500,0.709,0.650,0.750,0.800,0.781,0.500,0.712,0.600,0.750,0.800,0.781,0.500,0.718,0.650,0.500,0.800,0.750,0.500,0.696,0.700,0.500,0.800,0.750,0.500,0.696,0.700,0.500,0.800,0.750,0.500,0.696,0.700,0.500,0.800,0.750,0.500,0.696,0.700,0.500,0.800,0.750,0.500,0.705,0.700,0.500,0.800,0.750,0.500,0.705,0.800,0.500,0.800,0.750,0.500,0.712,0.800,0.500,0.800,0.750,0.500,0.712,0.800,0.500,0.800,0.750,0.500,0.625,0.750,0.500,0.750,0.688,0.500,0.563,0.750,0.500,0.750,0.688,0.250,0.563,0.800,0.500,0.750,0.719,0.250,0.563,0.750,0.500,0.750,0.594,0.250,0.438,0.550,0.250,0.750,0.500,0.000,0.500,0.450,0.250,0.750,0.500,0.250,0.438,0.550,0.125,0.750,0.438,0.000
KSV,Kosovo,0.375,0.550,0.125,0.450,0.406,0.250,0.375,0.500,0.125,0.400,0.406,0.250,0.438,0.500,0.125,0.250,0.406,0.250,0.438,0.500,0.125,0.250,0.406,0.250,0.438,0.500,0.125,0.400,0.375,0.250,0.438,0.500,0.125,0.400,0.375,0.250,0.438,0.500,0.125,0.400,0.344,0.250,0.438,0.450,0.125,0.400,0.344,0.250,0.438,0.200,0.125,0.400,0.344,0.250,0.438,0.150,0.125,0.400,0.344,0.250,0.438,0.150,0.125,0.400,0.344,0.250,0.438,0.150,0.125,0.400,0.344,0.250,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MAC,"Macao SAR, China",0.375,0.750,0.625,0.850,0.719,0.500,0.438,0.800,0.625,0.850,0.719,0.500,0.438,0.850,0.625,0.850,0.719,0.500,0.500,0.850,0.625,0.850,0.719,0.500,0.500,0.850,0.625,0.850,0.688,0.500,0.500,0.850,0.625,0.850,0.688,0.500,0.500,0.700,0.625,0.850,0.688,0.500,0.438,0.750,0.625,0.850,0.688,0.500,0.438,0.750,0.625,0.850,0.688,0.500,0.438,0.650,0.625,0.850,0.688,0.500,0.688,0.650,0.750,0.850,0.719,0.500,0.688,0.650,0.750,0.850,0.719,0.500,0.688,0.650,0.750,0.850,0.719,0.500,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MAR,Morocco,0.408,0.450,0.375,0.450,0.469,0.250,0.408,0.450,0.375,0.450,0.469,0.250,0.411,0.450,0.375,0.450,0.469,0.250,0.406,0.450,0.375,0.450,0.469,0.250,0.400,0.450,0.375,0.450,0.469,0.250,0.395,0.450,0.375,0.450,0.469,0.250,0.389,0.450,0.375,0.500,0.438,0.250,0.356,0.450,0.375,0.500,0.438,0.250,0.360,0.450,0.375,0.450,0.438,0.250,0.391,0.450,0.250,0.500,0.469,0.250,0.379,0.450,0.250,0.450,0.469,0.250,0.346,0.500,0.250,0.450,0.469,0.250,0.350,0.500,0.250,0.500,0.438,0.250,0.350,0.500,0.250,0.450,0.438,0.250,0.351,0.475,0.250,0.450,0.438,0.250,0.351,0.450,0.250,0.450,0.438,0.250,0.313,0.450,0.250,0.350,0.438,0.250,0.375,0.450,0.250,0.450,0.500,0.250,0.313,0.500,0.375,0.450,0.500,0.250,0.375,0.400,0.375,0.450,0.500,0.250,0.438,0.500,0.500,0.400,0.500,0.250,0.500,0.600,0.500,0.400,0.500,0.500,0.500,0.450,0.500,0.400,0.500,0.500
MCO,Monaco,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MDA,Moldova,0.461,0.500,0.250,0.550,0.406,0.250,0.445,0.400,0.250,0.550,0.344,0.250,0.444,0.450,0.250,0.550,0.344,0.250,0.449,0.450,0.250,0.550,0.344,0.250,0.516,0.350,0.250,0.650,0.313,0.000,0.519,0.350,0.125,0.650,0.281,0.000,0.536,0.350,0.125,0.650,0.250,0.000,0.535,0.400,0.125,0.650,0.344,0.000,0.535,0.400,0.125,0.650,0.344,0.000,0.535,0.400,0.000,0.650,0.344,0.000,0.535,0.450,0.000,0.650,0.344,0.000,0.504,0.450,0.000,0.650,0.344,0.000,0.513,0.450,0.000,0.600,0.344,0.000,0.544,0.450,0.000,0.600,0.344,0.000,0.544,0.425,0.000,0.600,0.344,0.000,0.544,0.400,0.000,0.600,0.344,0.000,0.188,0.300,0.000,0.550,0.438,0.000,0.188,0.300,0.000,0.550,0.438,0.000,0.188,0.300,0.000,0.550,0.281,0.000,0.188,0.350,0.000,0.550,0.281,0.000,0.313,0.300,0.000,0.550,0.375,0.250,0.375,0.300,0.125,0.550,0.531,0.250,0.375,0.400,0.125,0.550,0.531,0.250
MDG,Madagascar,0.473,0.500,0.125,0.400,0.313,0.000,0.504,0.550,0.125,0.450,0.313,0.000,0.501,0.550,0.125,0.450,0.281,0.000,0.480,0.450,0.125,0.400,0.375,0.000,0.474,0.550,0.125,0.400,0.406,0.000,0.472,0.550,0.125,0.400,0.438,0.250,0.461,0.550,0.125,0.350,0.375,0.250,0.409,0.550,0.125,0.350,0.375,0.250,0.404,0.300,0.125,0.350,0.375,0.500,0.384,0.350,0.250,0.350,0.344,0.500,0.415,0.150,0.250,0.350,0.344,0.500,0.416,0.200,0.250,0.400,0.344,0.500,0.497,0.300,0.250,0.400,0.375,0.500,0.529,0.600,0.250,0.400,0.438,0.250,0.510,0.675,0.250,0.400,0.438,0.250,0.510,0.650,0.250,0.400,0.438,0.250,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MDV,Maldives,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MEX,Mexico,0.435,0.600,0.500,0.650,0.438,0.250,0.460,0.500,0.500,0.700,0.469,0.250,0.461,0.500,0.500,0.750,0.469,0.250,0.466,0.500,0.500,0.700,0.469,0.250,0.477,0.450,0.500,0.750,0.469,0.250,0.480,0.550,0.500,0.750,0.438,0.250,0.515,0.550,0.500,0.700,0.438,0.250,0.553,0.550,0.500,0.700,0.438,0.250,0.564,0.550,0.500,0.700,0.438,0.250,0.564,0.550,0.500,0.700,0.438,0.250,0.565,0.550,0.500,0.700,0.438,0.250,0.565,0.550,0.500,0.700,0.438,0.250,0.558,0.550,0.500,0.700,0.438,0.250,0.558,0.600,0.500,0.750,0.438,0.250,0.552,0.575,0.375,0.750,0.484,0.250,0.552,0.550,0.375,0.750,0.531,0.250,0.438,0.650,0.375,0.750,0.531,0.250,0.438,0.650,0.375,0.750,0.563,0.250,0.438,0.650,0.375,0.750,0.563,0.250,0.438,0.650,0.375,0.750,0.563,0.250,0.375,0.550,0.375,0.700,0.406,0.250,0.313,0.450,0.500,0.700,0.406,0.250,0.250,0.300,0.375,0.700,0.313,0.250
MHL,Marshall Islands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MKD,North Macedonia,0.520,0.550,0.500,0.700,0.500,0.250,0.513,0.550,0.500,0.700,0.500,0.250,0.517,0.500,0.375,0.700,0.406,0.250,0.512,0.500,0.375,0.700,0.375,0.250,0.497,0.500,0.375,0.650,0.375,0.250,0.480,0.400,0.375,0.550,0.344,0.250,0.551,0.500,0.375,0.550,0.375,0.250,0.563,0.500,0.250,0.550,0.375,0.250,0.558,0.500,0.250,0.550,0.375,0.250,0.558,0.500,0.250,0.550,0.375,0.250,0.558,0.500,0.250,0.550,0.375,0.250,0.558,0.450,0.250,0.550,0.375,0.250,0.561,0.450,0.250,0.550,0.375,0.250,0.561,0.450,0.250,0.550,0.375,0.250,0.567,0.450,0.250,0.550,0.375,0.250,0.567,0.450,0.250,0.550,0.375,0.250,0.250,0.250,0.250,0.500,0.500,0.000,0.188,0.250,0.250,0.500,0.500,0.000,0.125,0.350,0.250,0.500,0.250,0.000,0.125,0.350,0.250,0.500,0.250,0.000,0.125,0.300,0.000,0.500,0.313,0.000,0.188,0.200,0.125,0.500,0.406,0.000,0.188,0.350,0.250,0.500,0.406,0.000
MLI,Mali,0.362,0.150,0.125,0.400,0.313,0.250,0.384,0.300,0.125,0.400,0.313,0.250,0.434,0.350,0.125,0.400,0.313,0.250,0.458,0.350,0.125,0.400,0.313,0.250,0.470,0.350,0.125,0.400,0.313,0.250,0.473,0.400,0.125,0.400,0.313,0.250,0.473,0.400,0.125,0.400,0.313,0.250,0.477,0.550,0.125,0.400,0.406,0.250,0.451,0.500,0.125,0.400,0.406,0.250,0.444,0.250,0.125,0.400,0.406,0.250,0.506,0.550,0.125,0.400,0.406,0.250,0.488,0.550,0.125,0.400,0.406,0.250,0.481,0.500,0.125,0.400,0.406,0.250,0.587,..,..,..,..,..,0.599,..,..,..,..,..,0.599,..,..,..,..,..,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
